filenames,sampledates,size_fraction,who_extracted,temperature,solar,windspeed,winddir,salinity,nitrate_nitrite,ammonium,silicate,phosphate
SRR8175836_1,04-Apr-2013,<undefined>,<undefined>,5.17348857638889,259.580555555556,7.00694444444444,259.684722222222,32.4494713194444,0,1.035,1.3095,0.1615
SRR8175837_1,14-Feb-2013,<undefined>,<undefined>,2.00533427083333,121.705555555556,4.20555555555556,214.643055555556,31.8908560069444,0,0.795,2.763,0.2895
SRR8175838_1,15-Oct-2013,<undefined>,<undefined>,16.1488689922316,152.948571428571,3.11549295774648,53.830985915493,31.5120488785311,0.154,1.5705,0.2525,0.303
SRR8175839_1,13-Aug-2013,<undefined>,<undefined>,19.4330154507169,36.6619718309859,1.41521739130435,169.477205882353,31.454596432765,0,0.7125,4.2005,0.198
SRR8175840_1,21-Nov-2013,<undefined>,<undefined>,10.6167234722222,119.4984375,2.7,257.55546875,31.9169756060606,0.077,1.4355,2.953,0.5575
SRR8175841_1,29-Oct-2013,<undefined>,<undefined>,14.1338034710452,106.701388888889,2.86111111111111,151.975,31.8999474482109,0,0.9105,5.104,0.522
SRR8175842_1,26-Feb-2014,<undefined>,<undefined>,1.41943344894063,94.9125,2.93857142857143,286.794285714286,31.045325915404,0.074,0.833,2.232,0.13
SRR8175843_1,16-Jan-2014,<undefined>,<undefined>,3.3161781922675,15.5,2.66268656716418,143.181343283582,31.6420604009927,0.858,1.2825,0.7875,0.427
SRR8175844_1,25-Jun-2014,<undefined>,<undefined>,17.3495386805556,246.122222222222,3.75555555555556,205.876388888889,30.9298484027778,0.0255,2.124,8.401,0.172
SRR8175845_1,02-Apr-2014,<undefined>,<undefined>,3.16495718770727,119.9234375,1.871875,225.0609375,31.3246134890563,0.028,2.8,6.8515,0.167
SRR8175846_1,13-Jul-2015,<undefined>,<undefined>,17.7707178190784,268.291666666667,2.7125,197.197222222222,31.5795310684235,0.0525,1.2025,3.31,0.3075
SRR8175847_1,23-Jul-2015,<undefined>,<undefined>,19.1178380555556,306.269444444444,2.92222222222222,297.442028985507,31.4895783333333,0.026,0.3505,1.269,0.291
SRR8175848_1,19-May-2015,<undefined>,<undefined>,12.2869360763889,70.3013888888889,5.08194444444444,178.316666666667,32.06406,0,0.6655,2.2895,0.21
SRR8175849_1,24-Jun-2015,<undefined>,<undefined>,17.4850319791667,622.268571428571,4.48,289.09696969697,31.6214650347222,0,0.8345,6.7285,0.303
SRR8175850_1,29-Jul-2015,<undefined>,<undefined>,19.7496339533011,251.327941176471,2.81323529411765,247.723529411765,31.4197670933977,0.071,0.3,4.0015,0.311
SRR8175852_1,27-Jul-2015,<undefined>,<undefined>,19.9010328784965,135.850378787879,3.56439393939394,214.251893939394,31.3950002494173,0,0.398,1.241,0.276
