Kingdom,Supergroup,Division,Class,Order,Family,Genus,Species,GroupCount,sum_SRR8175836_1,sum_SRR8175837_1,sum_SRR8175838_1,sum_SRR8175839_1,sum_SRR8175840_1,sum_SRR8175841_1,sum_SRR8175842_1,sum_SRR8175843_1,sum_SRR8175844_1,sum_SRR8175845_1,sum_SRR8175846_1,sum_SRR8175847_1,sum_SRR8175848_1,sum_SRR8175849_1,sum_SRR8175850_1,sum_SRR8175852_1,sum_SRR8175853_1,sum_SRR8175872_1,sum_SRR8175873_1,sum_SRR8175878_1,sum_SRR8175879_1,sum_SRR8175880_1,sum_SRR8175881_1,sum_SRR8175882_1,sum_SRR8175883_1,sum_SRR8175884_1,sum_SRR8175885_1,sum_SRR8175851_1,sum_SRR8175854_1,sum_SRR8175855_1,sum_SRR8175856_1,sum_SRR8175857_1,sum_SRR8175858_1,sum_SRR8175859_1,sum_SRR8175860_1,sum_SRR8175861_1,sum_SRR8175862_1,sum_SRR8175863_1,sum_SRR8175864_1,sum_SRR8175865_1,sum_SRR8175866_1,sum_SRR8175867_1,sum_SRR8175868_1,sum_SRR8175869_1,sum_SRR8175870_1,sum_SRR8175871_1,sum_SRR8175874_1,sum_SRR8175875_1,sum_SRR8175876_1,sum_SRR8175877_1,sum_SRR8175886_1,sum_SRR8175887_1,sum_SRR8175888_1,sum_SRR8175889_1,sum_SRR8175890_1,sum_SRR8175891_1,sum_SRR8175892_1,sum_SRR8175893_1,sum_SRR8175894_1,sum_SRR8175895_1,sum_SRR8175896_1,sum_SRR8175897_1,sum_TH01_S1_L001_R1_001,sum_TH02_S2_L001_R1_001,sum_TH03_S3_L001_R1_001,sum_TH04_S4_L001_R1_001,sum_TH05_S5_L001_R1_001,sum_TH06_S6_L001_R1_001,sum_TH07_S7_L001_R1_001,sum_TH09_S9_L001_R1_001,sum_TH10_S10_L001_R1_001,sum_TH11_S11_L001_R1_001,sum_TH12_S12_L001_R1_001,sum_TH13_S13_L001_R1_001,sum_TH14_S14_L001_R1_001,sum_TH15_S15_L001_R1_001,sum_TH16_S16_L001_R1_001,sum_A2_MV417A_S9_L001_R1_001,sum_A4_MV448A_S25_L001_R1_001,sum_A5_MV410A_S33_L001_R1_001,sum_A6_MV391C_s_S41_L001_R1_001,sum_A7_MV442A_S49_L001_R1_001,sum_B2_MV445A_S10_L001_R1_001,sum_B3_MV406A_S18_L001_R1_001,sum_B4_MV388C_s_S26_L001_R1_001,sum_B5_MV440A_S34_L001_R1_001,sum_B6_MV399C_s_S42_L001_R1_001,sum_B7_MV393C_s_S50_L001_R1_001,sum_C1_MV403A_S3_L001_R1_001,sum_C2_MV386C_s_S11_L001_R1_001,sum_C3_MV436A_S19_L001_R1_001,sum_C5_MV450A_S35_L001_R1_001,sum_C6_MV412A_S43_L001_R1_001,sum_C7_MV401A_S51_L001_R1_001,sum_D1_MV416A_S4_L001_R1_001,sum_D4_MV408A_S28_L001_R1_001,sum_D5_MV390C_s_S36_L001_R1_001,sum_D7_MV414A_S52_L001_R1_001,sum_E1_MV444A_S5_L001_R1_001,sum_E2_MV405A_S13_L001_R1_001,sum_E4_MV439A_S29_L001_R1_001,sum_E5_MV398C_s_S37_L001_R1_001,sum_E6_MV452A_S45_L001_R1_001,sum_E7_MV443A_S53_L001_R1_001,sum_F1_MV385A_S6_L001_R1_001,sum_F2_MV435A_S14_L001_R1_001,sum_F3_MV396B_S22_L001_R1_001,sum_F4_MV449A_S30_L001_R1_001,sum_F5_MV411A_S38_L001_R1_001,sum_F6_MV392C_s_S46_L001_R1_001,sum_F7_MV394B_s_S54_L001_R1_001,sum_G1_MV395C_s_S7_L001_R1_001,sum_G2_MV447A_S15_L001_R1_001,sum_G3_MV407A_S23_L001_R1_001,sum_G4_MV389C_s_S31_L001_R1_001,sum_G5_MV441A_S39_L001_R1_001,sum_G6_MV400C_s_S47_L001_R1_001,sum_G7_MV402A_S55_L001_R1_001,sum_H1_MV404A_S8_L001_R1_001,sum_H2_MV387C_s_S16_L001_R1_001,sum_H3_MV438A_S24_L001_R1_001,sum_H4_MV397B_S32_L001_R1_001,sum_H5_MV451A_S40_L001_R1_001,sum_H6_MV413A_S48_L001_R1_001,sum_H7_MV415A_S56_L001_R1_001
Eukaryota,Archaeplastida,Chlorophyta,Mamiellophyceae,Mamiellales,Bathycoccaceae,Bathycoccus,Bathycoccus_prasinos,14,5659,6644,2720,5000,3227,618,98,463,5230,414,6534,538,3886,5213,744,245,615,228,2086,1641,184,966,3142,3256,36,128,2892,9,19,20,351,583,989,1568,145,593,6,134,5,0,15,126,366,1675,157,0,495,46,168,687,160,986,56,536,141,933,48,96,143,116,650,14,1945,659,6923,1779,2393,248,272,1004,1740,14095,3061,11007,7992,77,8119,136,84,931,3487,3792,0,3129,2141,35,0,0,380,1559,1831,9886,7427,337,3437,865,885,255,2983,346,4805,463,26,1344,32,29,6929,2071,7255,145,0,5469,45,0,682,4794,5062,1382,17,1690,19033,14766,1811,0,1632
Eukaryota,Archaeplastida,Chlorophyta,Mamiellophyceae,Mamiellales,Bathycoccaceae,Bathycoccus,Bathycoccus_oceanicus,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eukaryota,Archaeplastida,Chlorophyta,Mamiellophyceae,Mamiellales,Bathycoccaceae,Ostreococcus,Ostreococcus_lucimarinus,4,56,243,5547,84,1601,978,2,17,266,6,4309,1058,0,155,3697,1171,5238,0,0,1394,63,3368,1169,0,0,106,2359,99,370,269,66,215,45,763,39,18,0,35,0,0,0,53,0,28,908,0,195,47,10,61,0,10,0,6,46,319,27,79,18,0,161,0,224,65,1707,367,5226,16,6,24,37,3795,633,532,262,11,1480,24,30,0,0,0,0,1407,1387,0,0,0,353,701,1055,4847,0,130,11,52,1470,0,2355,2,108,0,0,214,55,0,0,405,0,0,0,33,0,888,1190,83,13913,68,117,2341,0,148,2263,0,0
Eukaryota,Archaeplastida,Chlorophyta,Mamiellophyceae,Mamiellales,Bathycoccaceae,Ostreococcus,Ostreococcus_tauri,16,354,55,2376,127,223,367,0,0,93,0,2703,902,72,79,5465,846,6332,8,96,282,47,1440,2178,50,0,37,630,47,157,127,83,749,33,376,17,0,0,0,0,0,0,48,29,0,68,0,32,0,0,0,44,0,0,0,0,178,0,69,0,41,0,0,804,235,1132,125,811,0,0,72,74,1294,1000,3608,2421,44,1931,193,240,0,125,0,0,698,951,0,30,0,26,6858,332,2302,41,0,656,0,97,0,1853,0,758,2,20,117,742,649,291,137,82,0,0,1452,0,0,2195,546,7657,107,0,1383,0,589,90,0,165
Eukaryota,Archaeplastida,Chlorophyta,Mamiellophyceae,Mamiellales,Bathycoccaceae,Ostreococcus,Ostreococcus_clade_B,5,0,0,435,132,0,15,0,0,205,0,3661,488,0,383,2215,298,3062,0,0,0,0,1200,1887,0,0,0,0,0,48,40,58,407,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1433,118,41,0,22,0,0,0,0,743,1976,2051,1120,29,171,0,0,0,0,0,0,0,0,0,0,0,0,479,0,687,0,0,0,0,0,0,1159,0,0,0,0,397,29,0,155,103,0,0,0,595,0,0,0,0,4571,64,0,154,0,490,0,0,0
Eukaryota,Archaeplastida,Chlorophyta,Mamiellophyceae,Mamiellales,Bathycoccaceae,Ostreococcus,Ostreococcus_mediterraneus,4,225,17,0,0,23,0,0,0,25,3,71,0,9,6,0,0,6,0,43,0,0,0,0,0,0,0,0,0,0,0,0,19,0,56,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,18,0,0,0,0,6,0,0,0,4,0,122,16,0,12,12,204,13,7,0,0,0,0,0,0,0,0,0,563,135,0,0,0,0,0,0,70,6,0,29,0,0,0,0,0,6,0,0,0,0,0,29,0,10,0,0,311,0,0,0,0,0,0,0,0,0,0,96,0,0
Eukaryota,Archaeplastida,Chlorophyta,Mamiellophyceae,Mamiellales,Mamiellaceae,Micromonas,Micromonas_commoda_A2,9,8198,3198,1837,1275,2843,665,32,313,1078,203,2723,393,3597,2856,898,206,779,86,536,1267,48,1124,3548,821,11,367,2164,0,13,27,193,363,824,495,26,73,0,92,0,0,0,226,263,1114,257,0,340,38,55,213,51,616,21,295,124,1242,159,264,54,73,845,7,1122,185,3694,947,3133,200,107,386,624,4092,1797,1403,1326,42,8296,553,40,946,1325,895,40,4699,1466,0,2552,65,510,1877,2585,9374,2759,3190,4596,1583,296,304,2339,120,1484,1573,599,996,81,0,1590,1377,3844,47,0,11120,0,103,715,2599,3209,1090,16,2386,19466,2649,4907,0,2813
Eukaryota,Archaeplastida,Chlorophyta,Mamiellophyceae,Mamiellales,Mamiellaceae,Micromonas,Micromonas_pusilla,8,297,1028,870,562,916,271,0,123,604,11,673,225,106,984,342,66,299,0,17,684,38,481,1060,35,0,39,1039,0,24,36,31,63,17,22,0,49,0,31,0,0,0,0,0,105,81,0,89,15,31,119,0,61,6,30,18,121,0,0,40,0,200,23,596,77,1579,379,423,62,54,0,17,640,893,646,614,19,2663,7,43,11,618,35,0,368,881,0,0,0,168,0,880,2352,365,1731,56,179,14,0,1031,11,0,137,1068,568,47,0,58,368,462,488,0,94,9,0,2000,1831,822,762,11,1894,537,1117,1972,0,90
Eukaryota,Archaeplastida,Chlorophyta,Mamiellophyceae,Mamiellales,Mamiellaceae,Micromonas,Micromonas_bravo_B2,5,0,0,1431,674,1183,451,0,0,69,0,1212,247,39,313,691,92,550,0,0,138,82,2892,2088,0,0,37,220,53,50,145,48,199,0,36,0,0,17,68,0,0,20,106,0,0,238,0,0,0,0,0,0,0,0,0,16,399,39,73,0,0,150,38,257,406,255,66,390,0,0,0,0,75,168,488,1208,85,2949,0,306,0,0,0,10249,346,499,0,15,0,705,926,1014,2780,0,1570,17,55,0,0,2150,0,0,162,0,330,50,0,250,827,0,0,0,213,78,0,0,20,3653,1310,88,989,0,88,597,0,0
Eukaryota,Archaeplastida,Chlorophyta,Mamiellophyceae,Mamiellales,Mamiellaceae,Micromonas,Micromonas_bravo_B1,6,2573,583,388,51,668,108,0,21,162,13,536,59,135,408,114,28,70,16,42,307,0,180,303,67,0,163,372,0,0,0,23,23,142,103,19,0,0,0,0,0,0,0,57,86,674,0,86,0,0,38,13,60,0,58,0,25,0,0,9,29,172,0,39,0,593,90,239,57,18,193,370,826,136,54,61,0,837,844,209,0,341,125,0,48,14,0,0,0,54,0,269,565,110,45,541,13,0,0,0,0,4044,0,16,32,375,0,25,184,216,18,17,2834,0,0,0,538,536,66,0,98,2591,262,239,0,208
